0,1,2,3,4,5
Date,"App
Version",Crash,"Crash per 1000
devices","ANR
","ANR per 1000
devices"
"Jan 1, 2020",v2.1.6,159,27.19,45,7.70
"Jan 2, 2020",v2.1.6,157,26.33,63,10.56
"Jan 3, 2020",v2.1.6,74,12.25,54,8.94
"Jan 4, 2020",v2.1.6,82,13.43,60,9.82
"Jan 5, 2020",v2.1.6,88,14.21,46,7.43
"Jan 6, 2020",v2.1.6,106,16.80,65,10.30
"Jan 7, 2020",v2.1.6,136,21.01,75,11.59
"Jan 8, 2020",v2.1.6,142,21.65,67,10.22
"Jan 9, 2020",v2.1.6,124,18.47,59,8.79
"Jan 10, 2020",v2.1.6,100,14.69,61,8.96
"Jan 11, 2020",v2.1.6,124,17.79,86,12.34
"Jan 12, 2020",v2.1.6,91,12.87,64,9.05
"Jan 13, 2020",v2.1.6,143,14.36,64,6.42
"Jan 14, 2020",v2.1.6,"2,453",50.97,295,6.13
"Jan 15, 2020",v2.1.6,"4,247",56.67,634,8.46
"Jan 16, 2020",v2.1.6,"5,700",58.63,941,9.68
"Jan 17, 2020",v2.1.6,"5,648",48.12,"1,204",10.26
"Jan 18, 2020",v2.1.6,"6,116",46.04,"1,445",10.88
"Jan 19, 2020",v2.1.6,"5,896",40.40,"1,337",9.16
"Jan 20, 2020",v2.1.6,"8,200",51.64,"1,393",8.77
"Jan 21, 2020",v2.1.6,"11,264",64.58,"1,714",9.83
"Jan 22, 2020",v2.1.6,"12,745",68.62,"1,817",9.78
"Jan 23, 2020",v2.1.6,"15,231",77.42,"2,059",10.47
"Jan 24, 2020",v2.1.6,"16,972",81.96,"2,249",10.86
"Jan 25, 2020",v2.1.6,"14,978",69.22,"2,349",10.86
"Jan 26, 2020",v2.1.6,"13,589",60.59,"2,240",9.99
"Jan 27, 2020",v2.1.6,"12,234",52.80,"2,279",9.84
"Jan 28, 2020",v2.1.6,"12,517",52.34,"2,339",9.78
"Jan 29, 2020",v2.1.6,"13,133",52.61,"2,391",9.58
"Jan 30, 2020",v2.1.6,"10,659",41.68,"2,661",10.41
"Jan 31, 2020",v2.1.6,"11,858",45.32,"2,953",11.29
"Feb 1, 2020",v2.1.6,"10,019",37.35,"2,936",10.95
"Feb 2, 2020",v2.1.6,"9,304",33.84,"2,446",8.90
"Feb 3, 2020",v2.1.6,"11,670",41.54,"2,850",10.14
"Feb 4, 2020",v2.1.6,"12,743",44.40,"2,744",9.56
"Feb 5, 2020",v2.1.6,"13,622",46.59,"3,009",10.29
"Feb 6, 2020",v2.1.6,"15,890",53.38,"3,055",10.26
"Feb 7, 2020",v2.1.6,"14,913",49.23,"3,149",10.40
"Feb 8, 2020",v2.1.6,"13,753",44.55,"3,357",10.87
"Feb 9, 2020",v2.1.6,"12,677",40.38,"2,989",9.52
"Feb 10, 2020",v2.1.6,"13,378",41.94,"3,169",9.94
"Feb 11, 2020",v2.1.6,"12,846",39.70,"3,186",9.85
"Feb 12, 2020",v2.1.6,"13,936",42.51,"3,095",9.44
"Feb 13, 2020",v2.1.6,"14,432",43.38,"3,165",9.51
"Feb 14, 2020",v2.1.6,"15,792",46.99,"3,361",10.00
"Feb 15, 2020",v2.1.6,"15,362",45.25,"3,678",10.83
"Feb 16, 2020",v2.1.6,"14,275",41.75,"3,268",9.56
"Feb 17, 2020",v2.1.6,"14,338",41.61,"3,326",9.65
"Feb 18, 2020",v2.1.6,"15,547",45.77,"3,252",9.57
"Feb 19, 2020",v2.1.6,"14,615",43.38,"3,124",9.27
"Feb 20, 2020",v2.1.6,"15,762",51.19,"3,035",9.86
"Feb 21, 2020",v2.1.8,"19,453",252.90,"1,946",25.30
"Feb 22, 2020",v2.1.8,"19,273",200.72,"2,652",27.62
"Feb 23, 2020",v2.1.8,"20,585",178.79,"2,985",25.93
"Feb 24, 2020",v2.1.8,"25,171",190.33,"3,538",26.75
"Feb 25, 2020",v2.1.8,"24,206",163.98,"4,548",30.81
"Feb 26, 2020",v2.1.8,"27,439",171.96,"5,008",31.38
"Feb 27, 2020",v2.1.8,"28,322",166.17,"5,575",32.71
"Feb 28, 2020",v2.1.8,"27,846",153.15,"5,885",32.37
"Feb 29, 2020",v2.1.8,"25,555",132.01,"6,189",31.97
"Mar 1, 2020",v2.1.8,"24,873",122.78,"5,965",29.45
"Mar 2, 2020",v2.1.8,"18,651",88.33,"6,530",30.92
"Mar 3, 2020",v2.1.8,"31,462",143.14,"6,102",27.76
"Mar 4, 2020",v2.1.8,"31,596",138.40,"6,276",27.49
"Mar 5, 2020",v2.1.8,"36,019",152.56,"6,525",27.64
"Mar 6, 2020",v2.1.8,"38,002",155.66,"6,693",27.41
"Mar 7, 2020",v2.1.8,"38,387",152.83,"6,915",27.53
"Mar 8, 2020",v2.1.8,"31,959",124.41,"6,883",26.79
"Mar 9, 2020",v2.1.8,"33,713",128.64,"7,336",27.99
"Mar 10, 2020",v2.1.8,"37,196",138.81,"7,588",28.32
"Mar 11, 2020",v2.1.8,"34,694",126.75,"7,741",28.28
"Mar 12, 2020",v2.1.8,"34,711",124.24,"7,267",26.01
"Mar 13, 2020",v2.1.8,"36,385",127.86,"7,961",27.98
"Mar 14, 2020",v2.1.8,"38,900",134.16,"7,839",27.04
"Mar 15, 2020",v2.1.8,"36,312",123.34,"7,771",26.40
"Mar 16, 2020",v2.1.8,"38,961",129.84,"8,086",26.95
"Mar 17, 2020",v2.1.8,"39,933",131.01,"8,564",28.10
"Mar 18, 2020",v2.1.8,"44,292",143.07,"8,927",28.84
"Mar 19, 2020",v2.1.8,"45,767",145.51,"8,437",26.82
"Mar 20, 2020",v2.1.8,"43,836",136.68,"8,550",26.66
"Mar 21, 2020",v2.1.8,"43,068",132.21,"8,857",27.19
"Mar 22, 2020",v2.1.8,"40,992",124.39,"8,893",26.99
"Mar 23, 2020",v2.1.8,"42,582",127.58,"8,438",25.28
"Mar 24, 2020",v2.1.8,"43,562",129.25,"8,594",25.50
"Mar 25, 2020",v2.1.8,"50,954",148.77,"8,375",24.45
"Mar 26, 2020",v2.1.8,"53,640",154.79,"8,411",24.27
"Mar 27, 2020",v2.1.8,"53,676",152.64,"8,436",23.99
"Mar 28, 2020",v2.1.8,"50,070",140.19,"8,127",22.75
"Mar 29, 2020",v2.1.8,"48,521",134.22,"8,645",23.91
"Mar 30, 2020",v2.1.8,"53,899",147.31,"8,839",24.16
"Mar 31, 2020",v2.1.8,"48,500",130.92,"8,730",23.57
"Apr 1, 2020",v2.1.8,"45,496",121.62,"6,346",16.96
"Apr 2, 2020",v2.1.8,"49,819",132.20,"4,954",13.15
"Apr 3, 2020",v2.1.8,"47,990",126.37,"5,060",13.32
"Apr 4, 2020",v2.1.8,"43,587",113.70,"4,326",11.29
"Apr 5, 2020",v2.1.8,"43,298",111.70,"4,225",10.90
"Apr 6, 2020",v2.1.8,"44,632",113.81,"4,380",11.17
"Apr 7, 2020",v2.1.8,"48,368",121.42,"4,342",10.90
"Apr 8, 2020",v2.1.8,"51,259",126.96,"4,725",11.70
"Apr 9, 2020",v2.1.8,"53,826",131.02,"5,498",13.38
"Apr 10, 2020",v2.1.8,"48,717",116.77,"4,912",11.77
"Apr 11, 2020",v2.1.8,"45,571",108.00,"4,727",11.20
"Apr 12, 2020",v2.1.8,"42,487",99.60,"4,740",11.11
"Apr 13, 2020",v2.1.8,"46,887",108.83,"4,865",11.29
"Apr 14, 2020",v2.1.8,"48,701",111.75,"4,908",11.26
"Apr 15, 2020",v2.1.8,"51,534",118.36,"4,578",10.52
"Apr 16, 2020",v2.1.8,"50,806",117.91,"4,992",11.59
"Apr 17, 2020",v2.1.8,"52,012",121.10,"4,619",10.75
"Apr 18, 2020",v2.1.8,"44,244",103.31,"4,682",10.93
"Apr 19, 2020",v2.1.8,"48,116",112.31,"4,750",11.09
"Apr 20, 2020",v2.1.8,"44,462",103.81,"4,573",10.68
"Apr 21, 2020",v2.1.8,"50,413",116.99,"4,820",11.19
"Apr 22, 2020",v2.1.8,"48,116",111.14,"4,687",10.83
"Apr 23, 2020",v2.1.8,"47,090",108.55,"4,769",10.99
"Apr 24, 2020",v2.1.8,"50,617",116.47,"4,990",11.48
"Apr 25, 2020",v2.1.8,"48,994",112.20,"4,956",11.35
"Apr 26, 2020",v2.1.8,"45,929",104.95,"4,493",10.27
"Apr 27, 2020",v2.1.8,"40,903",93.49,"4,804",10.98
"Apr 28, 2020",v2.1.8,"44,525",101.49,"4,669",10.64
"Apr 29, 2020",v2.1.8,"44,169",100.73,"4,842",11.04
"Apr 30, 2020",v2.1.8,"46,074",105.27,"4,881",11.15
"May 1, 2020",v2.1.8,"44,191",101.08,"5,048",11.55
"May 2, 2020",v2.1.8,"39,767",90.98,"5,023",11.49
"May 3, 2020",v2.1.8,"38,949",89.21,"4,856",11.12
"May 4, 2020",v2.1.8,"40,130",91.61,"4,728",10.79
"May 5, 2020",v2.1.8,"43,319",98.35,"4,811",10.92
"May 6, 2020",v2.1.8,"43,115",97.66,"4,659",10.55
"May 7, 2020",v2.1.8,"45,482",102.99,"4,930",11.16
"May 8, 2020",v2.1.8,"43,569",98.63,"4,780",10.82
"May 9, 2020",v2.1.8,"44,513",100.87,"5,081",11.51
"May 10, 2020",v2.1.8,"43,950",99.68,"5,063",11.48
"May 11, 2020",v2.1.8,"41,923",94.91,"4,755",10.77
"May 12, 2020",v2.1.8,"42,233",95.24,"4,380",9.88
"May 13, 2020",v2.1.8,"41,752",93.98,"4,326",9.74
"May 14, 2020",v2.1.8,"41,618",93.10,"4,257",9.52
"May 15, 2020",v2.1.8,"46,871",104.74,"4,793",10.71
"May 16, 2020",v2.1.8,"41,414",92.40,"4,431",9.89
"May 17, 2020",v2.1.8,"39,216",87.19,"4,422",9.83
"May 18, 2020",v2.1.8,"38,950",86.41,"4,611",10.23
"May 19, 2020",v2.1.8,"40,051",88.47,"4,587",10.13
"May 20, 2020",v2.1.8,"43,068",94.37,"4,850",10.63
"May 21, 2020",v2.1.8,"40,889",89.42,"4,902",10.72
"May 22, 2020",v2.1.8,"41,267",90.18,"4,945",10.81
"May 23, 2020",v2.1.8,"37,721",82.50,"5,087",11.13
"May 24, 2020",v2.1.8,"33,703",73.91,"4,214",9.24
"May 25, 2020",v2.1.8,"34,470",75.59,"4,146",9.09
"May 26, 2020",v2.1.8,"37,264",81.58,"4,248",9.30
"May 27, 2020",v2.1.8,"42,232",92.39,"4,266",9.33
"May 28, 2020",v2.1.8,"39,567",87.45,"4,229",9.35
"May 29, 2020",v2.1.8,"41,330",92.24,"4,249",9.48
"May 30, 2020",v2.1.8,"40,083",90.48,"3,988",9.00
"May 31, 2020",v2.1.8,"34,737",79.16,"3,953",9.01
"Jun 1, 2020",v2.1.8,"36,031",82.88,"3,864",8.89
"Jun 2, 2020",v2.1.8,"34,400",79.90,"3,816",8.86
"Jun 3, 2020",v2.1.8,"37,990",89.51,"4,231",9.97
"Jun 4, 2020",v2.1.8,"39,129",93.10,"4,174",9.93
"Jun 5, 2020",v2.1.8,"38,342",92.17,"3,911",9.40
"Jun 6, 2020",v2.1.8,"33,408",81.14,"3,652",8.87
"Jun 7, 2020",v2.1.8,"30,960",75.85,"3,601",8.82
"Jun 8, 2020",v2.1.8,"33,799",83.55,"3,461",8.56
"Jun 9, 2020",v2.1.8,"32,354",80.58,"3,505",8.73
"Jun 10, 2020",v2.1.8,"29,369",77.95,"3,440",9.13
"Jun 11, 2020",,,,,
"Jun 12, 2020",v2.2.2,852,21.30,14,0.35
"Jun 13, 2020",v2.2.2,"1,519",18.04,44,0.52
"Jun 14, 2020",v2.2.2,"1,607",14.23,45,0.40
"Jun 15, 2020",v2.2.2,"1,813",13.37,58,0.43
"Jun 16, 2020",v2.2.2,"1,917",12.55,51,0.33
"Jun 17, 2020",v2.2.2,"2,047",12.20,78,0.47
"Jun 18, 2020",v2.2.2,"2,114",11.74,84,0.47
"Jun 19, 2020",v2.2.2,"2,023",10.59,88,0.46
"Jun 20, 2020",v2.2.2,"2,124",10.56,92,0.46
"Jun 21, 2020",v2.2.2,"1,885",9.02,100,0.48
"Jun 22, 2020",v2.2.2,"2,060",9.43,91,0.42
"Jun 23, 2020",v2.2.2,"2,579",11.34,115,0.51
"Jun 24, 2020",v2.2.2,"2,620",11.09,120,0.51
"Jun 25, 2020",v2.2.2,"2,669",10.92,121,0.50
"Jun 26, 2020",v2.2.2,"2,720",10.80,126,0.50
"Jun 27, 2020",v2.2.2,"2,492",9.63,129,0.50
"Jun 28, 2020",v2.2.2,"2,523",9.50,126,0.48
"Jun 29, 2020",v2.2.2,"2,557",9.39,136,0.50
"Jun 30, 2020",v2.2.2,"2,712",9.70,155,0.55
"Jul 1, 2020",v2.2.2,"2,759",9.63,137,0.48
"Jul 2, 2020",v2.2.2,"3,002",10.24,148,0.51
"Jul 3, 2020",v2.2.2,"3,143",10.50,122,0.41
"Jul 4, 2020",v2.2.2,"2,739",8.98,131,0.43
"Jul 5, 2020",v2.2.2,"2,719",8.76,126,0.41
"Jul 6, 2020",v2.2.2,"2,621",8.32,149,0.47
"Jul 7, 2020",v2.2.2,"2,629",8.22,156,0.49
"Jul 8, 2020",v2.2.2,"2,960",9.14,135,0.42
"Jul 9, 2020",v2.2.2,"2,904",8.86,138,0.42
"Jul 10, 2020",v2.2.2,"2,943",8.87,148,0.45
"Jul 11, 2020",v2.2.2,"3,031",9.03,141,0.42
"Jul 12, 2020",v2.2.2,"2,647",7.81,149,0.44
"Jul 13, 2020",v2.2.2,"3,008",8.83,176,0.52
"Jul 14, 2020",v2.2.2,"3,408",9.92,172,0.50
"Jul 15, 2020",v2.2.2,"3,421",9.88,168,0.49
"Jul 16, 2020",v2.2.2,"2,685",7.69,152,0.44
"Jul 17, 2020",v2.2.2,"2,982",8.44,167,0.47
"Jul 18, 2020",v2.2.2,"3,786",10.61,195,0.55
"Jul 19, 2020",v2.2.2,"3,057",8.51,153,0.43
"Jul 20, 2020",v2.2.2,"3,071",8.45,156,0.43
"Jul 21, 2020",v2.2.2,"3,080",8.39,205,0.56
"Jul 22, 2020",v2.2.2,"3,224",8.71,166,0.45
"Jul 23, 2020",v2.2.2,"3,144",8.43,160,0.43
"Jul 24, 2020",v2.2.2,"3,685",9.63,181,0.47
"Jul 25, 2020",v2.2.2,"3,639",9.40,177,0.46
"Jul 26, 2020",v2.2.2,"3,129",8.03,200,0.51
"Jul 27, 2020",v2.2.2,"3,319",8.42,158,0.40
"Jul 28, 2020",v2.2.2,"3,697",9.26,183,0.46
"Jul 29, 2020",v2.2.2,"3,654",9.08,165,0.41
"Jul 30, 2020",v2.2.2,"3,170",7.80,178,0.44
"Jul 31, 2020",v2.2.2,"2,774",6.78,196,0.48
"Aug 1, 2020",v2.2.2,"3,389",8.25,189,0.46
"Aug 2, 2020",v2.2.2,"3,211",7.77,183,0.44
"Aug 3, 2020",v2.2.2,"3,118",7.49,162,0.39
"Aug 4, 2020",v2.2.2,"3,073",7.33,207,0.49
"Aug 5, 2020",v2.2.2,"3,349",7.88,184,0.43
"Aug 6, 2020",v2.2.2,"3,476",8.07,219,0.51
"Aug 7, 2020",v2.2.2,"3,281",7.53,202,0.46
"Aug 8, 2020",v2.2.2,"4,373",9.91,208,0.47
"Aug 9, 2020",v2.2.2,"4,444",9.95,196,0.44
"Aug 10, 2020",v2.2.2,"3,263",7.24,190,0.42
"Aug 11, 2020",v2.2.2,"3,302",7.25,178,0.39
"Aug 12, 2020",v2.2.2,"3,700",8.01,236,0.51
"Aug 13, 2020",v2.2.2,"3,793",8.08,235,0.50
"Aug 14, 2020",v2.2.2,"3,895",8.16,266,0.56
"Aug 15, 2020",v2.2.2,"3,641",7.57,234,0.49
"Aug 16, 2020",v2.2.2,"3,197",6.61,221,0.46
"Aug 17, 2020",v2.2.2,"3,681",7.56,213,0.44
"Aug 18, 2020",v2.2.2,"4,405",8.96,242,0.49
"Aug 19, 2020",v2.2.2,"3,803",7.68,220,0.45
"Aug 20, 2020",v2.2.2,"2,995",6.06,205,0.42
"Aug 21, 2020",v2.2.2,"3,286",6.63,208,0.42
"Aug 22, 2020",v2.2.2,"3,291",6.62,218,0.44
"Aug 23, 2020",v2.2.2,"3,555",7.11,195,0.39
"Aug 24, 2020",v2.2.2,"4,290",8.49,202,0.40
"Aug 25, 2020",v2.2.2,"4,846",9.47,240,0.47
"Aug 26, 2020",v2.2.2,"5,349",10.35,246,0.48
"Aug 27, 2020",v2.2.2,"5,071",9.74,211,0.41
"Aug 28, 2020",v2.2.2,"4,585",8.75,213,0.41
"Aug 29, 2020",v2.2.2,"5,101",9.65,230,0.44
"Aug 30, 2020",v2.2.2,"4,340",8.18,210,0.40
"Aug 31, 2020",v2.2.2,"3,689",6.96,212,0.40
"Sep 1, 2020",v2.2.2,"3,822",7.23,188,0.36
"Sep 2, 2020",v2.2.2,"3,670",6.97,198,0.38
"Sep 3, 2020",v2.2.2,"3,765",7.18,223,0.43
"Sep 4, 2020",v2.2.2,"3,571",6.82,184,0.35
"Sep 5, 2020",v2.2.2,"3,342",6.40,198,0.38
"Sep 6, 2020",v2.2.2,"3,560",6.83,205,0.39
"Sep 7, 2020",v2.2.2,"3,247",6.23,193,0.37
"Sep 8, 2020",v2.2.2,"3,001",5.77,223,0.43
"Sep 9, 2020",v2.2.2,"3,035",5.85,218,0.42
"Sep 10, 2020",v2.2.2,"27,933",54.22,202,0.39
"Sep 11, 2020",v2.2.2,"15,646",31.35,200,0.40
"Sep 12, 2020",v2.2.3,659,10.40,17,0.27
"Sep 13, 2020",v2.2.3,859,8.22,33,0.32
"Sep 14, 2020",v2.2.3,"1,013",7.64,52,0.39
"Sep 15, 2020",v2.2.3,"1,210",7.86,58,0.38
"Sep 16, 2020",v2.2.3,"1,255",7.45,72,0.43
"Sep 17, 2020",v2.2.3,"1,490",7.93,94,0.50
"Sep 18, 2020",v2.2.3,"1,642",8.26,87,0.44
"Sep 19, 2020",v2.2.3,"1,824",8.81,102,0.49
"Sep 20, 2020",v2.2.3,"1,731",8.09,80,0.37
"Sep 21, 2020",v2.2.3,"1,432",6.52,81,0.37
"Sep 22, 2020",v2.2.3,"1,406",6.25,93,0.41
"Sep 23, 2020",v2.2.3,"1,500",6.53,91,0.40
"Sep 24, 2020",v2.2.3,"1,394",5.95,94,0.40
"Sep 25, 2020",v2.2.3,"1,515",6.34,81,0.34
"Sep 26, 2020",v2.2.3,"1,491",6.14,84,0.35
"Sep 27, 2020",v2.2.3,"1,504",6.09,90,0.36
"Sep 28, 2020",v2.2.3,"1,585",6.32,100,0.40
"Sep 29, 2020",v2.2.3,"1,537",6.05,113,0.44
"Sep 30, 2020",v2.2.3,"1,394",5.41,128,0.50
"Oct 1, 2020",v2.2.3,"1,568",6.00,110,0.42
"Oct 2, 2020",v2.2.3,"1,607",6.07,90,0.34
"Oct 3, 2020",v2.2.3,"1,648",6.15,110,0.41
"Oct 4, 2020",v2.2.3,"1,499",5.52,107,0.39
"Oct 5, 2020",v2.2.3,"1,511",5.50,102,0.37
"Oct 6, 2020",v2.2.3,"1,567",5.65,100,0.36
"Oct 7, 2020",v2.2.3,"1,565",5.59,102,0.36
"Oct 8, 2020",v2.2.3,"1,664",5.86,108,0.38
"Oct 9, 2020",v2.2.3,"1,593",5.55,145,0.51
"Oct 10, 2020",v2.2.3,"1,528",5.27,127,0.44
"Oct 11, 2020",v2.2.3,"1,437",4.91,124,0.42
"Oct 12, 2020",v2.2.3,"1,681",5.66,134,0.45
"Oct 13, 2020",v2.2.3,"2,497",8.17,133,0.44
"Oct 14, 2020",v2.2.3,"2,709",8.70,148,0.48
"Oct 15, 2020",v2.2.3,"3,061",9.48,156,0.48
"Oct 16, 2020",v2.2.3,"3,359",10.23,169,0.52
"Oct 17, 2020",v2.2.3,"2,956",8.86,126,0.38
"Oct 18, 2020",v2.2.3,"2,543",7.54,160,0.47
"Oct 19, 2020",v2.2.3,"2,918",8.52,151,0.44
"Oct 20, 2020",v2.2.3,"3,106",8.97,142,0.41
"Oct 21, 2020",v2.2.3,"3,852",11.03,176,0.50
"Oct 22, 2020",v2.2.3,"2,929",8.29,154,0.44
"Oct 23, 2020",v2.2.3,"2,492",7.04,135,0.38
"Oct 24, 2020",v2.2.3,"3,078",8.56,148,0.41
"Oct 25, 2020",v2.2.3,"2,774",7.65,151,0.42
"Oct 26, 2020",v2.2.3,"2,678",7.35,144,0.40
"Oct 27, 2020",v2.2.3,"2,566",6.97,126,0.34
"Oct 28, 2020",v2.2.3,"2,570",6.94,149,0.40
"Oct 29, 2020",v2.2.3,"2,245",6.04,169,0.46
"Oct 30, 2020",v2.2.3,"2,229",5.97,131,0.35
"Oct 31, 2020",v2.2.3,"2,453",6.53,123,0.33
"Nov 1, 2020",v2.2.3,"2,714",7.15,149,0.39
"Nov 2, 2020",v2.2.3,"2,449",6.44,146,0.38
"Nov 3, 2020",v2.2.3,"2,392",6.26,117,0.31
"Nov 4, 2020",v2.2.3,"2,169",5.67,143,0.37
"Nov 5, 2020",v2.2.3,"2,415",6.30,167,0.44
"Nov 6, 2020",v2.2.3,"2,317",6.03,135,0.35
"Nov 7, 2020",v2.2.3,"2,496",6.47,137,0.36
"Nov 8, 2020",v2.2.3,"2,267",5.85,120,0.31
"Nov 9, 2020",v2.2.3,"2,343",6.03,131,0.34
"Nov 10, 2020",v2.2.3,"2,057",5.26,152,0.39
"Nov 11, 2020",v2.2.3,"1,597",4.09,164,0.42
"Nov 12, 2020",v2.2.3,"1,872",4.77,134,0.34
"Nov 13, 2020",v2.2.3,"2,242",5.66,130,0.33
"Nov 14, 2020",v2.2.3,"2,140",5.38,157,0.40
"Nov 15, 2020",v2.2.3,"1,992",5.00,133,0.33
"Nov 16, 2020",v2.2.3,"2,461",6.12,128,0.32
"Nov 17, 2020",v2.2.3,"2,704",6.65,147,0.36
"Nov 18, 2020",v2.2.3,"2,743",6.71,157,0.38
"Nov 19, 2020",v2.2.3,"2,871",6.95,186,0.45
"Nov 20, 2020",v2.2.3,"2,504",6.01,178,0.43
"Nov 21, 2020",v2.2.3,"2,802",6.66,158,0.38
"Nov 22, 2020",v2.2.3,"2,541",5.99,139,0.33
"Nov 23, 2020",v2.2.3,"2,503",5.87,221,0.52
"Nov 24, 2020",v2.2.3,"2,366",5.52,152,0.36
"Nov 25, 2020",v2.2.3,"2,232",5.18,154,0.36
"Nov 26, 2020",v2.2.3,"2,367",5.46,171,0.39
"Nov 27, 2020",v2.2.3,"2,402",5.51,170,0.39
"Nov 28, 2020",v2.2.3,"2,494",5.68,210,0.48
"Nov 29, 2020",v2.2.3,"2,381",5.38,148,0.33
"Nov 30, 2020",v2.2.3,"2,247",5.06,139,0.31
"Dec 1, 2020",v2.2.3,"2,344",5.26,151,0.34
"Dec 2, 2020",v2.2.3,"2,568",5.73,170,0.38
"Dec 3, 2020",v2.2.3,"2,540",5.65,179,0.40
"Dec 4, 2020",v2.2.3,"2,289",5.08,165,0.37
"Dec 5, 2020",v2.2.3,"2,298",5.09,174,0.39
"Dec 6, 2020",v2.2.3,"2,390",5.28,188,0.42
"Dec 7, 2020",v2.2.3,"3,035",6.71,214,0.47
"Dec 8, 2020",v2.2.3,"2,852",6.27,199,0.44
"Dec 9, 2020",v2.2.3,"3,026",6.63,180,0.40
"Dec 10, 2020",v2.2.3,"2,777",6.07,178,0.39
"Dec 11, 2020",v2.2.3,"2,580",5.63,216,0.47
"Dec 12, 2020",v2.2.3,"2,654",5.77,172,0.37
"Dec 13, 2020",v2.2.3,"2,710",5.89,152,0.33
"Dec 14, 2020",v2.2.3,"2,659",5.77,159,0.35
"Dec 15, 2020",v2.2.3,"2,719",5.89,164,0.36
